name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
ARRANON,250 MG VIAL,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ATENOLOL,100 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATENOLOL,25 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATENOLOL,50 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATENOLOL-CHLORTHALIDONE,100-25,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATENOLOL/CHLORTHALIDONE,TABLET 50-25MG (100 CT),2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATGAM,50MG/ML AMPUL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
ATOMOXETINE,10 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,100 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,18 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,25 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,40 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,60 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ATOMOXETINE,80 MG ORAL CAPSULE [STRATTERA],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018-01-01T00:00:00Z
ATORVASTATIN,10 MG TABLET [LIPITOR],2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ATORVASTATIN,20 MG TABLET [LIPITOR],2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ATORVASTATIN,40 MG TABLET [LIPITOR],2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ATORVASTATIN,80 MG TABLET [LIPITOR],2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ATOVAQUONE,750 MG/5 ML SUSP [MEPRON],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ATOVAQUONE-PROGUANIL,250; 100MG/1; MG/1 [MALARONE],4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ATOVAQUONE-PROGUANIL,62.5-25 [MALARONE],4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018-01-01T00:00:00Z
ATRIPLA,"600; 200; 300MG/1; MG/1; MG/1 30 FILM COATED TABLETS IN BOTTLE, PLASTIC",5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
ATROPINE,1% EYE DROPS,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ATROVENT,HFA AER 17MCG,4,Non-Preferred Drug,35%,30%,Q:26/30Days,2018-01-01T00:00:00Z
AUBRA-28,TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AURYXIA,210 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:360/30Days,2018-01-01T00:00:00Z
AVANDIA,2 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
AVANDIA,4 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
AVASTIN,100MG/4ML VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AVASTIN,400 MG/16 ML VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AVIANE,0.1-0.02 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AZATHIOPRINE,50 MG TABLET,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
AZELASTINE,137 MCG NASAL SPRAY,3,Preferred Brand,20%,15%,Q:30/25Days,2018-01-01T00:00:00Z
AZELASTINE,HCL 0.05% DROPS,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AZITHROMYCIN,1 GM PWD PACKET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AZITHROMYCIN,100 MG/5 ML SUSP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AZITHROMYCIN,200 MG/5 ML SUSP,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AZITHROMYCIN,250 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AZITHROMYCIN,250 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AZITHROMYCIN,500 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AZITHROMYCIN,500MG/1 30 FILM COATED TABLETS IN BOTTLE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AZITHROMYCIN,600 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:16/60Days,2018-01-01T00:00:00Z
AZITHROMYCIN,I.V. 500 MG VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AZOPT,1% EYE DROPS,3,Preferred Brand,20%,15%,Q:10/28Days,2018-01-01T00:00:00Z
AZTREONAM,FOR INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ABACAVIR,300 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018-01-01T00:00:00Z
ABACAVIR,SULFATE-LAMIVUDINE-ZIDOVUDINE TABLETS [TRIZIVIR],5,Specialty Tier,25%,N/A,Q:60/30Days,2018-01-01T00:00:00Z
ABACAVIR-LAMIVUDINE,600-300 MG,5,Specialty Tier,25%,N/A,Q:30/30Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 300 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 300 MG VL,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABILIFY,MAINTENA ER 400 MG SYR,5,Specialty Tier,25%,N/A,P Q:1/28Days,2018-01-01T00:00:00Z
ABRAXANE,100MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ACAMPROSATE,CALCIUM DR 333 MG TABLETS [CAMPRAL],4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,25 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACARBOSE,50 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACEBUTOLOL,200 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACEBUTOLOL,400 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACELLULAR,PERTUSSIS VACCINE 50 UNT/ML / DIPHTHERIA TOXOID VACCINE 50 UNT/ML / TETANUS TOXOID VACCINE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETAMINOP-CODEINE,120-12 MG/5,3,Preferred Brand,20%,15%,Q:2700/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN,AND CODEINE PHOSPHATE TABLET USP 300MG-15MG (100 CT),3,Preferred Brand,20%,15%,Q:390/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD,#3 TABLET,3,Preferred Brand,20%,15%,Q:360/30Days,2018-01-01T00:00:00Z
ACETAMINOPHEN-COD,#4 TABLET,3,Preferred Brand,20%,15%,Q:180/30Days,2018-01-01T00:00:00Z
ACETASOL,HC SOLUTION 10ML 10 ML BOT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,125MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,250MG TABLET (100 CT),3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
ACETAZOLAMIDE,ER 500 MG CAP,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACETIC,ACID 2% EAR SOLUTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACETYLCYSTEINE,10% VIAL,3,Preferred Brand,20%,15%,P,2018-01-01T00:00:00Z
ACETYLCYSTEINE,200 MG/ML INHALANT SOLUTION,3,Preferred Brand,20%,15%,P,2018-01-01T00:00:00Z
ACITRETIN,10 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACITRETIN,17.5 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACITRETIN,25 MG CAPSULE [SORIATANE],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ACTHIB,VACCINE WITH DILUENT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACTIMMUNE,100 MCG/0.5 ML VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ACYCLOVIR,200 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,200 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ACYCLOVIR,400 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,5% OINTMENT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
ACYCLOVIR,800 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ACYCLOVIR,SODIUM 500 MG VIAL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
ADACEL,VIAL 2UNT/5UNT,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ADAGEN,250U/ML VIAL,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ADALIMUMAB,50 MG/ML PREFILLED SYRINGE [HUMIRA],5,Specialty Tier,25%,N/A,P Q:6/28Days,2018-01-01T00:00:00Z
ADAPALENE,0.1% GEL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
ADCIRCA,TABLETS 20MG 60 BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ADEFOVIR,DIPIVOXIL 10 MG TAB [HEPSERA],5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ADEMPAS,0.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,1 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,1.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,2 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
ADEMPAS,2.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018-01-01T00:00:00Z
AFEDITAB,CR 30MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AFEDITAB,CR 60MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AFINITOR,7.5MG/1 28 BLISTER PACK PER CARTON / 1 TABLET PER BLISTER PACK,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
AFINITOR,DISPERZ 2 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,DISPERZ 3 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,DISPERZ 5 MG TABLET,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AFINITOR,TABLETS 10 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
AFINITOR,TABLETS 2.5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
AFINITOR,TABLETS 5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018-01-01T00:00:00Z
ALBENZA,200 MG TABLET,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
ALBUTEROL,SUL 2.5 MG/3 ML SOLN,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,"SULFATE 0.75MG/3ML 30 POUCH PER CARTON / 1 VIAL, SINGLE-DOSE IN 1 POUCH / 3 ML IN 1 VIAL",2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 1.25MG/3ML VIAL NEBULIZER,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 2 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE 4 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE INHALATION SOLUTION 0.5% 20ML BOTDR,2,Generic,$1.00 ,$0.00 ,P,2018-01-01T00:00:00Z
ALBUTEROL,SULFATE SYRUP 2MG/5ML 16 FLO BOT,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALECENSA,150 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:240/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 10 MG TAB,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 35 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:4/28Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 40 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALENDRONATE,SODIUM 70 MG TAB,2,Generic,$1.00 ,$0.00 ,Q:4/28Days,2018-01-01T00:00:00Z
ALENDRONIC,ACID 5 MG ORAL TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALFUZOSIN,HCL ER 10 MG TABLET,2,Generic,$1.00 ,$0.00 ,Q:30/30Days,2018-01-01T00:00:00Z
ALIMTA,500MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
ALINIA,100 MG/5 ML SUSPENSION,4,Non-Preferred Drug,35%,30%,Q:150/30Days,2018-01-01T00:00:00Z
ALINIA,500 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:40/30Days,2018-01-01T00:00:00Z
ALLOPURINOL,100 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALLOPURINOL,300 MG TABLET,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
ALPRAZOLAM,0.25 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,0.5 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,1 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018-01-01T00:00:00Z
ALPRAZOLAM,2 MG TABLET,3,Preferred Brand,20%,15%,Q:150/30Days,2018-01-01T00:00:00Z
ALUNBRIG,30 MG TABLET,5,Specialty Tier,25%,N/A,P Q:180/30Days,2018-01-01T00:00:00Z
AMABELZ,0.5 MG/0.1 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMABELZ,1 MG/0.5 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,100MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMANTADINE,50 MG/5 ML SOLUTION,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AMBISOME,50MG VIAL,5,Specialty Tier,25%,N/A,P,2018-01-01T00:00:00Z
AMETHIA,LO TABLET,4,Non-Preferred Drug,35%,30%,Q:91/90Days,2018-01-01T00:00:00Z
AMIKACIN,SULF 500 MG/2 ML VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMILORIDE,HCL 5 MG TABLET,3,Preferred Brand,20%,15%,None,2018-01-01T00:00:00Z
AMILORIDE,HCL-HCTZ 5-50 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 10%  INJECTABLE SOLUTION [CLINIMIX 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 20%  INJECTABLE SOLUTION [CLINIMIX 4.25/20],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% IN DEXTROSE 5% INJECTABLE SOLUTION [CLINIMIX 4.25/5],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 4.25% WITH ELECTROLYTES IN DEXTROSE 10%  INJECTABLE SOLUTION [CLINIMIX E 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 5% WITH ELECTROLYTES IN DEXTROSE 20% INJECTABLE SOLUTION [CLINIMIX E 5/20],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINO,ACIDS 5% WITH ELECTROLYTES IN DEXTROSE 25%  INJECTABLE SOLUTION [CLINIMIX E 5/25],4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOPHYLLINE,25 MG/ML 10 ML INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMINOSYN,7%-ELECTROLYTE SOL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,HBC INJECTION SULFITE FREE 7%,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 10% SOL 6X2000 ML,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 15% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,PF INJECTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN,WITH ELECTROLYTES SULFITE FREE INJECTION 8.5%,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN-PF,7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMINOSYN-RF,5.2% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMIODARONE,HCL 100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMIODARONE,HCL 200 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMIODARONE,HCL 400 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIP/PERPHEN,10-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIP/PERPHEN,50-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 10 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 100 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 150 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 25 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 50 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMITRIPTYLINE,HCL 75 MG TAB,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 10 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 2.5 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE 5 MG TAB,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 10MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 5-10MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE,BESYLATE-BENAZEPRIL 5MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,10-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,2.5-10,3,Preferred Brand,20%,15%,Q:60/30Days,2018-01-01T00:00:00Z
AMLODIPINE-BENAZEPRIL,5-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018-01-01T00:00:00Z
AMMONIUM,LACTATE 12% CREAM,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMMONIUM,LACTATE 12% LOTION,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 200-28.5MG TABLET CHEWABLE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 250-125MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 400-57MG TABLET CHEWABLE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX,TR-POTASSIUM CLAVULANATE 400-57MG/5 SUSPENSION RECONSTITUTED ORAL,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,200-28.5 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,250-62.5 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,500-125 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,600-42.9 MG/5 ML SUS,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOX-CLAV,875-125 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXAPINE,100MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,150MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,25MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXAPINE,50MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMOXICILLIN,125 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,125MG TABLET CHEW,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,200 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG TAB CHEW,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,250 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,400 MG/5 ML SUSP,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,500 MG CAPSULE,1,Preferred Generic,$0.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,500 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,875 MG TABLET,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMOXICILLIN,AND CLAVULANATE POTASSIUM TABLETS EXTENDED RELEASE 1000;62.5MG;MG,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 12.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 15MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHETAMINE,SALT COMBO 7.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018-01-01T00:00:00Z
AMPHOTERICIN,B 50MG/10ML 10 ML IN 1 VIAL,4,Non-Preferred Drug,35%,30%,P,2018-01-01T00:00:00Z
AMPICILLIN,1000 MG INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,"125MG/1 10 VIAL, GLASS IN 1 PACKAGE / 1 INJECTION, POWDER, FOR SOLUTION IN 1 VIAL, GLASS",4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,2000 MG / SULBACTAM 1000 MG INJECTION,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,250 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,500 MG CAPSULE,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR INJECTION POWDER,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR ORAL SUSPENSION 125MG 100ML BOT,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN,FOR ORAL SUSPENSION 250MG 100ML BOT,2,Generic,$1.00 ,$0.00 ,None,2018-01-01T00:00:00Z
AMPICILLIN-SULBACTAM,15 GM VIAL,4,Non-Preferred Drug,35%,30%,None,2018-01-01T00:00:00Z
AMPYRA,ER 10 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018-01-01T00:00:00Z
ANADROL-50,TABLET,5,Specialty Tier,25%,N/A,None,2018-01-01T00:00:00Z
