name,tier_num,tier_desc,cost_30,cost_90,management,year
ACETASOL HC SOLUTION 10ML 10 ML BOT,4,Non-Preferred Drug,35%,30%,None,2018
ACETAZOLAMIDE 125MG TABLET,3,Preferred Brand,20%,15%,None,2018
ACETAZOLAMIDE 250MG TABLET (100 CT),3,Preferred Brand,20%,15%,None,2018
ACETAZOLAMIDE ER 500 MG CAP,4,Non-Preferred Drug,35%,30%,None,2018
ACETIC ACID 2% EAR SOLUTION,2,Generic,$1.00,$0.00,None,2018
ACETYLCYSTEINE 10% VIAL,3,Preferred Brand,20%,15%,P,2018
Acetylcysteine 200 MG/ML Inhalant Solution,3,Preferred Brand,20%,15%,P,2018
ACITRETIN 10 MG CAPSULE [Soriatane],5,Specialty Tier,25%,N/A,None,2018
ACITRETIN 17.5 MG CAPSULE [Soriatane],5,Specialty Tier,25%,N/A,None,2018
ACITRETIN 25 MG CAPSULE [Soriatane],5,Specialty Tier,25%,N/A,None,2018
ACTHIB VACCINE WITH DILUENT,4,Non-Preferred Drug,35%,30%,None,2018
ACTIMMUNE 100 MCG/0.5 ML VIAL,5,Specialty Tier,25%,N/A,P,2018
ACYCLOVIR 200 MG CAPSULE,1,Preferred Generic,$0.00,$0.00,None,2018
ACYCLOVIR 200 MG/5 ML SUSP,4,Non-Preferred Drug,35%,30%,None,2018
ACYCLOVIR 400 MG TABLET,2,Generic,$1.00,$0.00,None,2018
Acyclovir 5% Ointment,4,Non-Preferred Drug,35%,30%,P,2018
ACYCLOVIR 800 MG TABLET,2,Generic,$1.00,$0.00,None,2018
Acyclovir sodium 500 mg vial,4,Non-Preferred Drug,35%,30%,P,2018
ADACEL VIAL 2UNT/5UNT,4,Non-Preferred Drug,35%,30%,None,2018
ADAGEN 250U/ML VIAL,5,Specialty Tier,25%,N/A,None,2018
ADALIMUMAB 50 MG/ML PREFILLED SYRINGE [HUMIRA],5,Specialty Tier,25%,N/A,P Q:6/28Days,2018
ADAPALENE 0.1% GEL,4,Non-Preferred Drug,35%,30%,None,2018
ADCIRCA TABLETS 20MG 60 BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018
ADEFOVIR DIPIVOXIL 10 MG TAB [Hepsera],5,Specialty Tier,25%,N/A,None,2018
ADEMPAS 0.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018
ADEMPAS 1 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018
ADEMPAS 1.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018
ADEMPAS 2 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018
ADEMPAS 2.5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:90/30Days,2018
AFEDITAB CR 30MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018
AFEDITAB CR 60MG TABLET SA,3,Preferred Brand,20%,15%,Q:60/30Days,2018
Afinitor 7.5mg/1 28 BLISTER PACK per CARTON / 1 TABLET per BLISTER PACK,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018
AFINITOR DISPERZ 2 MG TABLET,5,Specialty Tier,25%,N/A,P,2018
AFINITOR DISPERZ 3 MG TABLET,5,Specialty Tier,25%,N/A,P,2018
AFINITOR DISPERZ 5 MG TABLET,5,Specialty Tier,25%,N/A,P,2018
AFINITOR TABLETS 10 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018
AFINITOR TABLETS 2.5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018
AFINITOR TABLETS 5 MG,5,Specialty Tier,25%,N/A,P Q:30/30Days,2018
ALBENZA 200 MG TABLET,5,Specialty Tier,25%,N/A,None,2018
ALBUTEROL SUL 2.5 MG/3 ML SOLN,2,Generic,$1.00,$0.00,P,2018
"ALBUTEROL SULFATE 0.75mg/3mL 30 POUCH per CARTON / 1 VIAL, SINGLE-DOSE in 1 POUCH / 3 mL in 1 VIAL",2,Generic,$1.00,$0.00,P,2018
ALBUTEROL SULFATE 1.25MG/3ML VIAL NEBULIZER,2,Generic,$1.00,$0.00,P,2018
ALBUTEROL SULFATE 2 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
ALBUTEROL SULFATE 4 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
ALBUTEROL SULFATE INHALATION SOLUTION 0.5% 20ML BOTDR,2,Generic,$1.00,$0.00,P,2018
ALBUTEROL SULFATE SYRUP 2MG/5ML 16 FLO BOT,1,Preferred Generic,$0.00,$0.00,None,2018
ALECENSA 150 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:240/30Days,2018
ALENDRONATE SODIUM 10 MG TAB,2,Generic,$1.00,$0.00,Q:30/30Days,2018
ALENDRONATE SODIUM 35 MG TABLET,2,Generic,$1.00,$0.00,Q:4/28Days,2018
ALENDRONATE SODIUM 40 MG TABLET,2,Generic,$1.00,$0.00,Q:30/30Days,2018
ALENDRONATE SODIUM 70 MG TAB,2,Generic,$1.00,$0.00,Q:4/28Days,2018
Alendronic acid 5 MG Oral Tablet,2,Generic,$1.00,$0.00,Q:30/30Days,2018
ALFUZOSIN HCL ER 10 MG TABLET,2,Generic,$1.00,$0.00,Q:30/30Days,2018
ALIMTA 500MG VIAL,5,Specialty Tier,25%,N/A,P,2018
ALINIA 100 MG/5 ML SUSPENSION,4,Non-Preferred Drug,35%,30%,Q:150/30Days,2018
ALINIA 500 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:40/30Days,2018
ALLOPURINOL 100 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
ALLOPURINOL 300 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
ALPRAZOLAM 0.25 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018
ALPRAZOLAM 0.5 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018
ALPRAZOLAM 1 MG TABLET,3,Preferred Brand,20%,15%,Q:120/30Days,2018
ALPRAZOLAM 2 MG TABLET,3,Preferred Brand,20%,15%,Q:150/30Days,2018
ALUNBRIG 30 MG TABLET,5,Specialty Tier,25%,N/A,P Q:180/30Days,2018
Amabelz 0.5 MG/0.1 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018
Amabelz 1 MG/0.5 MG 28 TABLET/BLISTER PACK 3 PER CARTON,4,Non-Preferred Drug,35%,30%,None,2018
AMANTADINE 100 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMANTADINE 100MG CAPSULE,4,Non-Preferred Drug,35%,30%,None,2018
AMANTADINE 50 MG/5 ML SOLUTION,3,Preferred Brand,20%,15%,None,2018
AMBISOME 50MG VIAL,5,Specialty Tier,25%,N/A,P,2018
Amethia lo tablet,4,Non-Preferred Drug,35%,30%,Q:91/90Days,2018
AMIKACIN SULF 500 MG/2 ML VIAL,4,Non-Preferred Drug,35%,30%,None,2018
AMILORIDE HCL 5 MG TABLET,3,Preferred Brand,20%,15%,None,2018
AMILORIDE HCL-HCTZ 5-50 MG TAB,2,Generic,$1.00,$0.00,None,2018
Amino acids 4.25% in dextrose 10%  Injectable Solution [Clinimix 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018
Amino acids 4.25% in dextrose 20%  Injectable Solution [Clinimix 4.25/20],4,Non-Preferred Drug,35%,30%,P,2018
Amino acids 4.25% in dextrose 5% Injectable Solution [Clinimix 4.25/5],4,Non-Preferred Drug,35%,30%,P,2018
Amino acids 4.25% with electrolytes in dextrose 10%  Injectable Solution [Clinimix E 4.25/10],4,Non-Preferred Drug,35%,30%,P,2018
Amino acids 5% with electrolytes in dextrose 20% Injectable Solution [Clinimix E 5/20],4,Non-Preferred Drug,35%,30%,P,2018
Amino acids 5% with electrolytes in dextrose 25%  Injectable Solution [Clinimix E 5/25],4,Non-Preferred Drug,35%,30%,P,2018
Aminophylline 25 MG/ML 10 ML Injection,4,Non-Preferred Drug,35%,30%,None,2018
AMINOSYN 7%-ELECTROLYTE SOL,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN HBC INJECTION SULFITE FREE 7%,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN II 10% SOL 6X2000 ML,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN II 15% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN II 7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN II 8.5% ELECTROLYT,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN PF INJECTION,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN WITH ELECTROLYTES SULFITE FREE INJECTION 8.5%,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN-PF 7% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018
AMINOSYN-RF 5.2% IV SOLUTION,4,Non-Preferred Drug,35%,30%,P,2018
Amiodarone hcl 100 mg tablet,4,Non-Preferred Drug,35%,30%,None,2018
AMIODARONE HCL 200 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMIODARONE HCL 400 MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMITRIP/PERPHEN 10-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMITRIP/PERPHEN 50-4 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMITRIPTYLINE HCL 10 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMITRIPTYLINE HCL 100 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMITRIPTYLINE HCL 150 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMITRIPTYLINE HCL 25 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMITRIPTYLINE HCL 50 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMITRIPTYLINE HCL 75 MG TAB,1,Preferred Generic,$0.00,$0.00,None,2018
AMLODIPINE BESYLATE 10 MG TAB,2,Generic,$1.00,$0.00,None,2018
AMLODIPINE BESYLATE 2.5 MG TAB,2,Generic,$1.00,$0.00,None,2018
AMLODIPINE BESYLATE 5 MG TAB,2,Generic,$1.00,$0.00,None,2018
AMLODIPINE BESYLATE-BENAZEPRIL 10MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018
AMLODIPINE BESYLATE-BENAZEPRIL 5-10MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018
AMLODIPINE BESYLATE-BENAZEPRIL 5MG-20MG CAPSULE,3,Preferred Brand,20%,15%,Q:60/30Days,2018
AMLODIPINE-BENAZEPRIL 10-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018
AMLODIPINE-BENAZEPRIL 2.5-10,3,Preferred Brand,20%,15%,Q:60/30Days,2018
AMLODIPINE-BENAZEPRIL 5-40 MG,3,Preferred Brand,20%,15%,Q:30/30Days,2018
AMMONIUM LACTATE 12% CREAM,2,Generic,$1.00,$0.00,None,2018
AMMONIUM LACTATE 12% LOTION,2,Generic,$1.00,$0.00,None,2018
AMOX TR-POTASSIUM CLAVULANATE 200-28.5MG TABLET CHEWABLE,2,Generic,$1.00,$0.00,None,2018
AMOX TR-POTASSIUM CLAVULANATE 250-125MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMOX TR-POTASSIUM CLAVULANATE 400-57MG TABLET CHEWABLE,2,Generic,$1.00,$0.00,None,2018
AMOX TR-POTASSIUM CLAVULANATE 400-57MG/5 SUSPENSION RECONSTITUTED ORAL,2,Generic,$1.00,$0.00,None,2018
AMOX-CLAV 200-28.5 MG/5 ML SUS,2,Generic,$1.00,$0.00,None,2018
AMOX-CLAV 250-62.5 MG/5 ML SUS,2,Generic,$1.00,$0.00,None,2018
AMOX-CLAV 500-125 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMOX-CLAV 600-42.9 MG/5 ML SUS,2,Generic,$1.00,$0.00,None,2018
AMOX-CLAV 875-125 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMOXAPINE 100MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMOXAPINE 150MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMOXAPINE 25MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMOXAPINE 50MG TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AMOXICILLIN 125 MG/5 ML SUSP,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 125MG TABLET CHEW,2,Generic,$1.00,$0.00,None,2018
AMOXICILLIN 200 MG/5 ML SUSP,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 250 MG CAPSULE,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 250 MG TAB CHEW,2,Generic,$1.00,$0.00,None,2018
AMOXICILLIN 250 MG/5 ML SUSP,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 400 MG/5 ML SUSP,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 500 MG CAPSULE,1,Preferred Generic,$0.00,$0.00,None,2018
AMOXICILLIN 500 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMOXICILLIN 875 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS EXTENDED RELEASE 1000;62.5MG;MG,4,Non-Preferred Drug,35%,30%,None,2018
AMPHETAMINE SALT COMBO 12.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018
AMPHETAMINE SALT COMBO 15MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018
AMPHETAMINE SALT COMBO 7.5MG TABLET,3,Preferred Brand,20%,15%,Q:90/30Days,2018
amphotericin b 50mg/10mL 10 mL in 1 VIAL,4,Non-Preferred Drug,35%,30%,P,2018
Ampicillin 1000 MG Injection,4,Non-Preferred Drug,35%,30%,None,2018
"Ampicillin 125mg/1 10 VIAL, GLASS in 1 PACKAGE / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, GLASS",4,Non-Preferred Drug,35%,30%,None,2018
Ampicillin 2000 MG / Sulbactam 1000 MG Injection,4,Non-Preferred Drug,35%,30%,None,2018
AMPICILLIN 250 MG CAPSULE,2,Generic,$1.00,$0.00,None,2018
AMPICILLIN 500 MG CAPSULE,2,Generic,$1.00,$0.00,None,2018
AMPICILLIN FOR INJECTION POWDER,4,Non-Preferred Drug,35%,30%,None,2018
AMPICILLIN FOR ORAL SUSPENSION 125MG 100ML BOT,2,Generic,$1.00,$0.00,None,2018
AMPICILLIN FOR ORAL SUSPENSION 250MG 100ML BOT,2,Generic,$1.00,$0.00,None,2018
AMPICILLIN-SULBACTAM 15 GM VIAL,4,Non-Preferred Drug,35%,30%,None,2018
AMPYRA ER 10 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2018
ANADROL-50 TABLET,5,Specialty Tier,25%,N/A,None,2018
Anagrelide Hydrochloride 0.5mg/1 100 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,None,2018
Anagrelide Hydrochloride 1mg/1 100 CAPSULE BOTTLE,3,Preferred Brand,20%,15%,None,2018
ANASTROZOLE 1 MG TABLET,2,Generic,$1.00,$0.00,Q:30/30Days,2018
ANDROGEL 1.62% (1.25G) GEL PCKT,3,Preferred Brand,20%,15%,Q:38/30Days,2018
ANDROGEL 1.62% (2.5G) GEL PCKT,3,Preferred Brand,20%,15%,Q:150/30Days,2018
"Androgel 16.2mg/g 1 BOTTLE, PUMP per CARTON / 88 g in 1 BOTTLE, PUMP",3,Preferred Brand,20%,15%,Q:150/30Days,2018
ANORO ELLIPTA 62.5-25 MCG INH,3,Preferred Brand,20%,15%,Q:60/30Days,2018
APOKYN 30 MG/3 ML CARTRIDGE,5,Specialty Tier,25%,N/A,Q:60/28Days,2018
Apraclonidine 5 MG/ML Ophthalmic Solution,4,Non-Preferred Drug,35%,30%,None,2018
APREPITANT 125 MG CAPSULE [Emend],4,Non-Preferred Drug,35%,30%,P Q:2/28Days,2018
APREPITANT 125-80-80 MG PACK [Emend],4,Non-Preferred Drug,35%,30%,P Q:6/28Days,2018
APREPITANT 40 MG CAPSULE [Emend],4,Non-Preferred Drug,35%,30%,P Q:2/28Days,2018
APREPITANT 80 MG CAPSULE [Emend],4,Non-Preferred Drug,35%,30%,P Q:4/28Days,2018
APRI 0.15-0.03 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
APRISO CP24,3,Preferred Brand,20%,15%,Q:120/30Days,2018
APTIOM 200 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
APTIOM 400 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
APTIOM 600 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
APTIOM 800 MG TABLET,4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
APTIVUS 250MG CAPSULE,5,Specialty Tier,25%,N/A,Q:120/30Days,2018
APTIVUS ORAL SOLUTION 100MG/ML 95 ML BOT,5,Specialty Tier,25%,N/A,Q:285/28Days,2018
ARALAST NP 500 MG VIAL,5,Specialty Tier,25%,N/A,P Q:44/30Days,2018
ARANELLE 7-9-5 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
ARCALYST INJECTION 220MG/VIAL,5,Specialty Tier,25%,N/A,P,2018
ARGATROBAN 250 MG VL 2.5 ML,4,Non-Preferred Drug,35%,30%,None,2018
ARIPIPRAZOLE 10 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE 15 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE 2 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE 20 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE 30 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE 5 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ARIPIPRAZOLE ODT 10 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
ARIPIPRAZOLE ODT 15 MG TABLET [Abilify],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
ARISTADA ER 1064 MG/3.9 ML SYR,5,Specialty Tier,25%,N/A,Q:4/56Days,2018
ARISTADA ER 441 MG/1.6 ML SYRN,5,Specialty Tier,25%,N/A,P Q:2/28Days,2018
ARISTADA ER 662 MG/2.4 ML SYRN,5,Specialty Tier,25%,N/A,P Q:2/28Days,2018
ARISTADA ER 882 MG/3.2 ML SYRN,5,Specialty Tier,25%,N/A,P Q:3/28Days,2018
Armodafinil 150 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
Armodafinil 200 MG Oral Tablet [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
Armodafinil 250 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
Armodafinil 50 MG TABLET [NUVIGIL],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
ARNUITY ELLIPTA 100 MCG INH,3,Preferred Brand,20%,15%,Q:30/30Days,2018
ARNUITY ELLIPTA 200 MCG INH,3,Preferred Brand,20%,15%,Q:30/30Days,2018
ARRANON 250 MG VIAL,5,Specialty Tier,25%,N/A,None,2018
ATENOLOL 100 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
ATENOLOL 25 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
ATENOLOL 50 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
ATENOLOL-CHLORTHALIDONE 100-25,2,Generic,$1.00,$0.00,None,2018
ATENOLOL/CHLORTHALIDONE TABLET 50-25MG (100 CT),2,Generic,$1.00,$0.00,None,2018
ATGAM 50MG/ML AMPUL,4,Non-Preferred Drug,35%,30%,P,2018
Atomoxetine 10 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
Atomoxetine 100 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
Atomoxetine 18 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
Atomoxetine 25 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
Atomoxetine 40 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:60/30Days,2018
Atomoxetine 60 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
Atomoxetine 80 MG Oral Capsule [Strattera],4,Non-Preferred Drug,35%,30%,P Q:30/30Days,2018
ATORVASTATIN 10 MG TABLET [Lipitor],2,Generic,$1.00,$0.00,Q:30/30Days,2018
ATORVASTATIN 20 MG TABLET [Lipitor],2,Generic,$1.00,$0.00,Q:30/30Days,2018
ATORVASTATIN 40 MG TABLET [Lipitor],2,Generic,$1.00,$0.00,Q:30/30Days,2018
ATORVASTATIN 80 MG TABLET [Lipitor],2,Generic,$1.00,$0.00,Q:30/30Days,2018
ATOVAQUONE 750 MG/5 ML SUSP [Mepron],5,Specialty Tier,25%,N/A,None,2018
Atovaquone-Proguanil 250; 100mg/1; mg/1 [Malarone],4,Non-Preferred Drug,35%,30%,None,2018
Atovaquone-Proguanil 62.5-25 [Malarone],4,Non-Preferred Drug,35%,30%,Q:30/30Days,2018
"Atripla 600; 200; 300mg/1; mg/1; mg/1 30 FILM COATED TABLETS in BOTTLE, PLASTIC",5,Specialty Tier,25%,N/A,Q:30/30Days,2018
ATROPINE 1% EYE DROPS,1,Preferred Generic,$0.00,$0.00,None,2018
ATROVENT HFA AER 17MCG,4,Non-Preferred Drug,35%,30%,Q:26/30Days,2018
AUBRA-28 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AURYXIA 210 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:360/30Days,2018
AVANDIA 2 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018
AVANDIA 4 MG TABLET,4,Non-Preferred Drug,35%,30%,Q:60/30Days,2018
AVASTIN 100MG/4ML VIAL,5,Specialty Tier,25%,N/A,P,2018
AVASTIN 400 MG/16 ML VIAL,5,Specialty Tier,25%,N/A,P,2018
AVIANE 0.1-0.02 TABLET,4,Non-Preferred Drug,35%,30%,None,2018
AZATHIOPRINE 50 MG TABLET,2,Generic,$1.00,$0.00,P,2018
AZELASTINE 137 MCG NASAL SPRAY,3,Preferred Brand,20%,15%,Q:30/25Days,2018
AZELASTINE HCL 0.05% DROPS,3,Preferred Brand,20%,15%,None,2018
AZITHROMYCIN 1 GM PWD PACKET,3,Preferred Brand,20%,15%,None,2018
AZITHROMYCIN 100 MG/5 ML SUSP,3,Preferred Brand,20%,15%,None,2018
AZITHROMYCIN 200 MG/5 ML SUSP,3,Preferred Brand,20%,15%,None,2018
AZITHROMYCIN 250 MG TABLET,2,Generic,$1.00,$0.00,None,2018
AZITHROMYCIN 250 MG TABLET,2,Generic,$1.00,$0.00,None,2018
Azithromycin 500 mg tablet,2,Generic,$1.00,$0.00,None,2018
Azithromycin 500mg/1 30 FILM COATED TABLETS in BOTTLE,2,Generic,$1.00,$0.00,None,2018
AZITHROMYCIN 600 MG TABLET,2,Generic,$1.00,$0.00,Q:16/60Days,2018
AZITHROMYCIN I.V. 500 MG VIAL,4,Non-Preferred Drug,35%,30%,None,2018
AZOPT 1% EYE DROPS,3,Preferred Brand,20%,15%,Q:10/28Days,2018
AZTREONAM FOR INJECTION,4,Non-Preferred Drug,35%,30%,None,2018
Bacitracin 500 unit/gm Eye Ointment,4,Non-Preferred Drug,35%,30%,None,2018
BACITRACIN INJ 50000UNT,3,Preferred Brand,20%,15%,None,2018
BACITRACIN/POLYMYXIN B OINT 500UNT/10000UNT,3,Preferred Brand,20%,15%,None,2018
BACLOFEN 10 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BACLOFEN 20 MG TABLET,2,Generic,$1.00,$0.00,None,2018
BALSALAZIDE DISODIUM 750MG CAPSULE (280 CT),4,Non-Preferred Drug,35%,30%,None,2018
Banzel 200mg/1,5,Specialty Tier,25%,N/A,P Q:480/30Days,2018
Banzel 40mg/mL,5,Specialty Tier,25%,N/A,P Q:2760/30Days,2018
BANZEL TABLET 400MG,5,Specialty Tier,25%,N/A,P Q:240/30Days,2018
BARACLUDE 0.05mg/mL 1 BOTTLE per CARTON / 210 mL in 1 BOTTLE,5,Specialty Tier,25%,N/A,Q:630/30Days,2018
"BCG VACCINE 50mg/1 1 VIAL per CARTON / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL",4,Non-Preferred Drug,35%,30%,None,2018
BEKYREE 28 DAY TABLET,4,Non-Preferred Drug,35%,30%,None,2018
BELEODAQ 500 MG VIAL,5,Specialty Tier,25%,N/A,P,2018
BENAZEPRIL HCL 10 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BENAZEPRIL HCL 20 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BENAZEPRIL HCL 40 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BENAZEPRIL HCL 5 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BENAZEPRIL HCL-HCTZ TABLET 10-12.5MG (100 CT),2,Generic,$1.00,$0.00,None,2018
BENAZEPRIL HCL-HCTZ TABLET 20-12.5MG (100 CT),2,Generic,$1.00,$0.00,None,2018
BENAZEPRIL HCL-HCTZ TABLET 20-25MG (100 CT),2,Generic,$1.00,$0.00,None,2018
BENAZEPRIL HCL-HCTZ TABLET 5-6.25MG (100 CT),2,Generic,$1.00,$0.00,None,2018
BENLYSTA 120mg/1.5mL 1 VIAL per CARTON / 1.5 mL in 1 VIAL,5,Specialty Tier,25%,N/A,P Q:20/28Days,2018
BENLYSTA 400 MG VIAL,5,Specialty Tier,25%,N/A,P Q:6/28Days,2018
BENZTROPINE MES 1 MG TABLET,2,Generic,$1.00,$0.00,None,2018
BENZTROPINE MES 2 MG TABLET,1,Preferred Generic,$0.00,$0.00,None,2018
BENZTROPINE MESYLATE 0.5 MG TABLETS,2,Generic,$1.00,$0.00,None,2018
BESIVANCE BESIFLOACIN OPTHALMIC SUSPENSION 0.6% 5 ML BOTDR,3,Preferred Brand,20%,15%,None,2018
Betamethasone Dipropionate 0.64mg/g / 45 g TUBE,3,Preferred Brand,20%,15%,None,2018
BETAMETHASONE DP 0.05% LOT,3,Preferred Brand,20%,15%,None,2018
Betamethasone DP 0.05% ointment,3,Preferred Brand,20%,15%,None,2018
BETAMETHASONE DP AUG 0.05% CRM,2,Generic,$1.00,$0.00,None,2018
BETAMETHASONE DP AUG 0.05% GEL,4,Non-Preferred Drug,35%,30%,None,2018
BETAMETHASONE DP AUG 0.05% LOT,4,Non-Preferred Drug,35%,30%,None,2018
BETAMETHASONE DP AUG 0.05% OIN,4,Non-Preferred Drug,35%,30%,None,2018
BETAMETHASONE VA 0.1% CREAM,2,Generic,$1.00,$0.00,None,2018
BETAMETHASONE VALERATE 0.1% LOTION,2,Generic,$1.00,$0.00,None,2018
BETAMETHASONE VALERATE OINTMENT USP,2,Generic,$1.00,$0.00,None,2018
BETASERON 0.3 MG KIT,5,Specialty Tier,25%,N/A,P Q:15/30Days,2018
Betaxolol 5 MG/ML Ophthalmic Solution,3,Preferred Brand,20%,15%,None,2018
